City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
59,Khatanga,71.9667,102.5,44.87,78,100,15.57,RU,2022-07-03 15:54:29,overcast clouds
60,Ambanja,-13.6833,48.45,71.55,73,26,3.13,MG,2022-07-03 15:54:29,scattered clouds
61,Saint-Philippe,-21.3585,55.7679,69.39,82,96,17.69,RE,2022-07-03 15:54:30,light rain
62,Cayenne,4.9333,-52.3333,89.64,28,40,10.36,GF,2022-07-03 15:54:30,scattered clouds
63,Vestmannaeyjar,63.4427,-20.2734,52.79,71,75,23.02,IS,2022-07-03 15:54:30,broken clouds
64,Esperance,-33.8667,121.9,50.23,70,0,13.38,AU,2022-07-03 15:54:31,clear sky
65,Polovinnoye,54.7914,65.9864,61.68,68,34,3.98,RU,2022-07-03 15:54:31,scattered clouds
66,Norman Wells,65.282,-126.8329,64.44,55,20,11.5,CA,2022-07-03 15:54:31,few clouds
67,Avarua,-21.2078,-159.775,68.05,88,2,3.44,CK,2022-07-03 15:50:00,clear sky
68,Port Alfred,-33.5906,26.891,60.19,85,81,3.0,ZA,2022-07-03 15:54:32,broken clouds
69,Turukhansk,65.8167,87.9833,56.01,85,100,9.08,RU,2022-07-03 15:54:32,overcast clouds
70,Lebu,-37.6167,-73.65,51.22,74,87,10.98,CL,2022-07-03 15:54:33,overcast clouds
71,Sao Felix Do Xingu,-6.6447,-51.995,91.22,37,23,7.0,BR,2022-07-03 15:54:33,few clouds
72,New Norfolk,-42.7826,147.0587,43.72,88,81,2.93,AU,2022-07-03 15:54:33,broken clouds
73,Hofn,64.2539,-15.2082,48.85,66,100,13.76,IS,2022-07-03 15:54:34,light rain
74,Melilla,35.2937,-2.9383,82.6,88,100,9.22,ES,2022-07-03 15:54:34,fog
75,Ponta Do Sol,32.6667,-17.1,75.0,76,76,3.47,PT,2022-07-03 15:54:34,broken clouds
76,Gambela,8.25,34.5833,71.56,89,96,1.21,ET,2022-07-03 15:54:34,overcast clouds
77,Grindavik,63.8424,-22.4338,53.55,76,75,17.27,IS,2022-07-03 15:54:35,broken clouds
78,Egvekinot,66.3167,-179.1667,38.93,91,92,1.52,RU,2022-07-03 15:54:35,overcast clouds
79,Yellowknife,62.456,-114.3525,61.32,59,75,10.36,CA,2022-07-03 15:54:36,broken clouds
80,Waipawa,-41.4122,175.5153,42.78,84,0,3.62,NZ,2022-07-03 15:54:36,clear sky
81,Mayumba,-3.432,10.6554,74.12,81,55,8.72,GA,2022-07-03 15:54:36,broken clouds
82,Ornskoldsvik,63.2909,18.7153,67.15,72,20,14.97,SE,2022-07-03 15:54:37,few clouds
83,Nuristan,35.3,70.8333,56.77,88,45,3.13,AF,2022-07-03 15:54:37,scattered clouds
84,Luganville,-15.5333,167.1667,78.71,83,28,15.23,VU,2022-07-03 15:54:37,scattered clouds
85,Yelovo,57.0538,54.9207,58.77,82,83,13.06,RU,2022-07-03 15:54:37,broken clouds
86,Gizo,-8.103,156.8419,81.79,77,96,9.17,SB,2022-07-03 15:54:38,light rain
87,San Ignacio,17.1561,-89.0714,78.94,94,75,4.61,BZ,2022-07-03 15:52:50,broken clouds
88,Poum,-20.2333,164.0167,76.78,81,5,20.51,NC,2022-07-03 15:54:38,clear sky
89,Faanui,-16.4833,-151.75,78.64,67,43,14.47,PF,2022-07-03 15:54:39,scattered clouds
90,Qui Nhon,13.7667,109.2333,81.5,76,100,6.13,VN,2022-07-03 15:54:39,overcast clouds
91,Sao Filipe,14.8961,-24.4956,74.97,73,12,15.1,CV,2022-07-03 15:54:39,few clouds
92,Bathsheba,13.2167,-59.5167,86.61,82,40,25.32,BB,2022-07-03 15:54:40,scattered clouds
93,Shakiso,5.75,38.9167,61.21,74,93,4.97,ET,2022-07-03 15:54:40,overcast clouds
94,Clyde River,70.4692,-68.5914,41.23,87,20,10.36,CA,2022-07-03 15:55:40,few clouds
95,Bowen,-20.0167,148.2333,61.88,90,100,8.72,AU,2022-07-03 15:55:40,overcast clouds
96,Tuktoyaktuk,69.4541,-133.0374,69.8,68,75,9.22,CA,2022-07-03 15:55:41,broken clouds
97,Saint Anthony,45.0205,-93.218,78.53,68,75,9.22,US,2022-07-03 15:55:41,broken clouds
98,Solnechnyy,50.7214,136.6319,66.31,95,48,1.32,RU,2022-07-03 15:55:41,scattered clouds
99,Batagay-Alyta,67.8006,130.4114,60.44,59,84,3.62,RU,2022-07-03 15:55:42,broken clouds
100,Henties Bay,-22.116,14.2845,60.17,79,0,13.0,NA,2022-07-03 15:55:42,clear sky
101,Ararangua,-28.9347,-49.4858,64.29,86,99,4.63,BR,2022-07-03 15:55:42,overcast clouds
102,Souillac,-20.5167,57.5167,70.18,88,40,14.97,MU,2022-07-03 15:55:43,light rain
103,Haines Junction,60.7522,-137.5108,53.55,76,0,1.14,CA,2022-07-03 15:55:43,clear sky
104,Kampot,10.6167,104.1833,78.85,86,100,7.61,KH,2022-07-03 15:55:43,overcast clouds
105,Torbay,47.6666,-52.7314,70.57,78,75,17.27,CA,2022-07-03 15:55:44,broken clouds
106,Aleksandrov Gay,50.147,48.5704,66.16,67,94,13.8,RU,2022-07-03 15:55:44,overcast clouds
107,Hasaki,35.7333,140.8333,81.0,79,100,15.73,JP,2022-07-03 15:55:44,overcast clouds
108,Puerto Padre,21.195,-76.6028,86.63,66,50,15.37,CU,2022-07-03 15:55:46,scattered clouds
109,Caravelas,-17.7125,-39.2481,79.14,53,45,7.27,BR,2022-07-03 15:55:46,scattered clouds
110,Tiarei,-17.5333,-149.3333,71.62,68,4,12.1,PF,2022-07-03 15:55:46,clear sky
111,Shaowu,27.3409,117.4831,76.28,97,100,2.57,CN,2022-07-03 15:55:47,light rain
112,Hobyo,5.3505,48.5268,77.76,71,81,30.53,SO,2022-07-03 15:55:47,broken clouds
113,Saint-Pierre,-21.3393,55.4781,70.92,83,75,24.16,RE,2022-07-03 15:55:48,broken clouds
114,Methven,-43.6333,171.65,41.02,97,13,1.01,NZ,2022-07-03 15:55:48,few clouds
115,Roald,62.5833,6.1333,64.17,67,75,14.97,NO,2022-07-03 15:55:49,broken clouds
116,Karratha,-20.7377,116.8463,63.7,30,5,20.09,AU,2022-07-03 15:55:49,clear sky
117,Mahon,39.8885,4.2658,84.76,61,0,8.05,ES,2022-07-03 15:55:49,clear sky
118,Barrow,71.2906,-156.7887,39.22,93,100,10.36,US,2022-07-03 15:55:50,mist
119,Coquimbo,-29.9533,-71.3436,56.93,67,0,6.91,CL,2022-07-03 15:55:50,clear sky
120,Srednekolymsk,67.45,153.6833,49.89,67,100,6.49,RU,2022-07-03 15:55:50,overcast clouds
121,Lebanon,36.2081,-86.2911,89.17,68,11,3.98,US,2022-07-03 15:55:51,few clouds
122,Gorodovikovsk,46.0878,41.9335,76.68,32,86,9.44,RU,2022-07-03 15:55:51,overcast clouds
123,Nikolskoye,59.7035,30.7861,73.29,77,89,5.3,RU,2022-07-03 15:55:51,overcast clouds
124,Mugur-Aksy,50.35,90.5,46.51,75,93,3.67,RU,2022-07-03 15:55:52,overcast clouds
125,Puerto Ayora,-0.7393,-90.3518,75.16,84,98,4.0,EC,2022-07-03 15:55:52,overcast clouds
126,Provideniya,64.3833,-173.3,48.99,83,100,4.16,RU,2022-07-03 15:55:52,overcast clouds
127,Cape Town,-33.9258,18.4232,59.41,82,20,16.11,ZA,2022-07-03 15:52:25,few clouds
128,Oranjemund,-28.55,16.4333,58.96,70,1,8.66,NA,2022-07-03 15:55:53,clear sky
129,Alta Floresta,-9.8756,-56.0861,96.62,32,0,13.8,BR,2022-07-03 15:55:53,clear sky
130,Kodiak,57.79,-152.4072,53.11,87,100,5.75,US,2022-07-03 15:55:53,mist
131,Lavrentiya,65.5833,-171.0,47.98,88,100,2.62,RU,2022-07-03 15:55:54,overcast clouds
132,Pevek,69.7008,170.3133,33.46,93,100,2.33,RU,2022-07-03 15:55:54,overcast clouds
133,Lagoa,39.05,-27.9833,64.74,69,3,12.91,PT,2022-07-03 15:55:54,clear sky
